filepath,class,label,score
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/442c3578-cee3-43bf-b636-b447a508a3f8___R.S_HL 8250 copy.jpg,healthy,0,22.21786
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/bdd57318-4414-4d35-9993-f2911e94f2f5___R.S_HL 5510 copy.jpg,healthy,0,49.339485
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/806c416d-90b9-4f7c-b6a0-80d75d84c156___R.S_HL 7972 copy 3.jpg,healthy,0,19.059086
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ffe53930-c98f-4c81-b82c-3eeab5da42a5___R.S_HL 8327 copy.jpg,healthy,0,53.269604
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/faab655c-70a6-4888-9a14-48a4bfedc46e___R.S_HL 5556 copy.jpg,healthy,0,20.603018
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f257156f-70da-49fd-857b-0d3918c99c2f___R.S_HL 0651 copy.jpg,healthy,0,10.655983
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2ee333db-befc-4ef1-985f-d07df669eddc___R.S_HL 8131 copy.jpg,healthy,0,38.919243
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/068794e5-0a99-405f-bbb9-1f954e11942d___R.S_HL 7909 copy 2.jpg,healthy,0,38.58042
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6aaf943e-fb16-4f8f-86c5-dc36724e25e5___R.S_HL 0607.JPG,healthy,0,56.3254
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/cfa7d11e-1df2-4e9f-a90d-1feb1bbdb55d___R.S_HL 7895 copy 2.jpg,healthy,0,34.228622
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a7f5fc47-53d2-412b-9198-98fa1d049fae___R.S_HL 8146 copy.jpg,healthy,0,31.746574
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/aa330d9f-d7a0-4bad-8f95-d6e11a1f95bf___R.S_HL 7893 copy.jpg,healthy,0,117.11432
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1970b015-02d3-405a-a1d7-3457a6977557___R.S_HL 7891 copy 2.jpg,healthy,0,57.31592
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fe50a4b4-0e43-47d7-afdf-de6544ebbec9___R.S_HL 7952 copy 2.jpg,healthy,0,66.220024
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4511c343-1fb9-450f-9991-7fc433034f7a___R.S_HL 7996 copy.jpg,healthy,0,64.81178
