filepath,class,domain,label,split
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/81b0d8bd-b21a-448a-8aca-a1bf971bf014___R.S_HL 8029 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/161c4466-80c0-49b0-8d4d-b583c4c961b6___R.S_HL 0646 copy 5.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/28d6c05f-6bd8-4a26-ab71-8af6418562d9___R.S_HL 0632 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/27cf1dd3-bee1-451d-b100-5a35369192d0___R.S_HL 8298 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/dcac2db4-95f4-4209-97fc-bccef6b0acca___R.S_HL 5537 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/bec2693a-e731-49a6-8ff8-cc07170bed12___R.S_HL 8098 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/13b33853-ad75-40ca-a00f-07281811638a___R.S_HL 8088 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/38618a59-09e8-48d9-93a8-3911040d224f___R.S_HL 8195 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/61824665-0adc-4976-b974-5d604c2e1bec___R.S_HL 7949 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/cd3cda5b-be94-430f-b8be-066b1b544cc7___R.S_HL 8294 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/20046515-e844-4ad2-b3e0-38d2dabcef66___R.S_HL 8002 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ac51fdb7-7110-4d50-b95f-19613eb22c15___R.S_HL 8317 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f7f289da-cdf0-4f65-b4f8-1afc4507a32f___R.S_HL 7880 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8a51e664-e6dc-4f0e-b3ee-bcd37fac243a___R.S_HL 7953 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/46277fc4-d989-4a82-ac74-719142e16f21___R.S_HL 7943 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6a73943d-1b22-417e-b810-2b3c65d6f320___R.S_HL 8280 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5c0d54a3-39dd-4720-ace7-d571ec6e7b61___R.S_HL 8048 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3eb884a5-e02f-4f39-b406-977e49ce1957___R.S_HL 8209 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5dd5c601-a601-45bf-90e9-1335869056cc___R.S_HL 0621 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/690aa499-e65c-42a5-ac1a-2eeebeb9ee9f___R.S_HL 5554 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/833d16ec-bdc3-47ec-9a67-d5080a6e0c91___R.S_HL 8106 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/de0baaf0-bd8c-40a4-924b-e7b3ad0a83d4___R.S_HL 8107 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/55dc128d-a5c8-4a38-8462-498f377f9e9c___R.S_HL 0610 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a357846d-9d74-425c-bd00-9f41a36ffc08___R.S_HL 8191 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/37f6cdf3-3424-4ff9-8106-7840c506ddd8___R.S_HL 8166 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/028ed539-32f5-4540-a6af-466179837de9___R.S_HL 8212 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ee886864-6980-42b0-b849-c99dce1b636c___R.S_HL 7893 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/af647b0e-db3a-459e-915c-4e522cb46c6c___R.S_HL 8101 copy .jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f3102f6c-af30-41a5-80b7-fcfa86635651___R.S_HL 8324 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/32a1562a-00ca-4e01-b8fa-9bb9a964f2fe___R.S_HL 7984 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1dc85ac0-f1fb-4acc-b50b-5625d4a53f87___R.S_HL 7900 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a35d50c8-99a0-486c-85f4-2eaa3b8395c8___R.S_HL 0626 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4bf9482d-8953-49ca-bc10-ed2742d40e9c___R.S_HL 5522 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1762fbc2-6b11-4501-9bb9-f0a7d60a5e19___R.S_HL 8052 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a69fb110-6abc-4025-b22a-9ce26e02a4e4___R.S_HL 7961 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d0e16874-80b3-4f2a-8511-15d5e69d33c6___R.S_HL 8056 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9202cb6d-a5bd-4cb7-860e-47f7299712ef___R.S_HL 8117 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9528e518-5767-42b6-9ece-d647dfe6b5d6___R.S_HL 8014 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/10f7f563-e9bf-4ac6-8fc9-497ba8d01024___R.S_HL 5495 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/99089d6e-ec29-4731-8b88-f6aebfd2fb93___R.S_HL 5504 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3ed3e07e-1932-4c33-9613-d31af970986c___R.S_HL 7973 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5d0e77eb-3821-403d-897d-5da32bd13656___R.S_HL 5513 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1cf6abd0-261e-4a8c-92b4-92320be88999___R.S_HL 8121 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b789776e-6be7-407a-95b3-fd6783c5f03d___R.S_HL 8022 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/bb0f8a9d-1c38-46a7-b922-2bbd3ba72fba___R.S_HL 7942 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9c774ac1-c09e-4365-bb0e-eee0dd61ac3c___R.S_HL 0637 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ab077499-4113-4aec-b483-e2e23f9ff109___R.S_HL 7931 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/50d502de-24fe-4929-bd9d-9bbe9bdb6541___R.S_HL 8052 copy 2.jpg,healthy,plantvillage,0,train
