filepath,class,domain,label,cae_score,patchcore_score,padim_score,dinov2_score
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/442c3578-cee3-43bf-b636-b447a508a3f8___R.S_HL 8250 copy.jpg,healthy,plantvillage,0,0.0003921133,2.2559156,4.0524483,25.430166
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/bdd57318-4414-4d35-9993-f2911e94f2f5___R.S_HL 5510 copy.jpg,healthy,plantvillage,0,0.00095509226,2.2711842,4.0988083,27.084354
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/806c416d-90b9-4f7c-b6a0-80d75d84c156___R.S_HL 7972 copy 3.jpg,healthy,plantvillage,0,0.00070633425,2.3954165,4.302707,28.115646
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ffe53930-c98f-4c81-b82c-3eeab5da42a5___R.S_HL 8327 copy.jpg,healthy,plantvillage,0,0.00094846793,2.3140829,4.1733427,27.652248
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/faab655c-70a6-4888-9a14-48a4bfedc46e___R.S_HL 5556 copy.jpg,healthy,plantvillage,0,0.0012060329,2.5990143,5.3107486,29.269684
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f257156f-70da-49fd-857b-0d3918c99c2f___R.S_HL 0651 copy.jpg,healthy,plantvillage,0,0.0009113673,2.2898839,4.4567075,28.977428
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2ee333db-befc-4ef1-985f-d07df669eddc___R.S_HL 8131 copy.jpg,healthy,plantvillage,0,0.00043948006,2.213896,3.7706325,26.110203
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/068794e5-0a99-405f-bbb9-1f954e11942d___R.S_HL 7909 copy 2.jpg,healthy,plantvillage,0,0.0006549842,2.3209562,4.3485136,27.827354
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6aaf943e-fb16-4f8f-86c5-dc36724e25e5___R.S_HL 0607.JPG,healthy,plantvillage,0,0.0014492217,2.1396027,4.2411914,28.271221
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/cfa7d11e-1df2-4e9f-a90d-1feb1bbdb55d___R.S_HL 7895 copy 2.jpg,healthy,plantvillage,0,0.0013786997,2.325978,4.5338798,27.301971
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a7f5fc47-53d2-412b-9198-98fa1d049fae___R.S_HL 8146 copy.jpg,healthy,plantvillage,0,0.00047902935,2.4512243,4.480495,27.141766
